Reference, Quantity, Value, Footprint, Datasheet
C10 C14 C15 ,3,"22uF","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/szlcsc/1811031131_Murata-Electronics-GRM21BR61E226ME44L_C86816.pdf"
C8 C2 ,2,"4.7uF","Capacitor_SMD:C_0402_1005Metric","~"
C9 C7 C3 C4 C6 C5 C1 C11 ,8,"100nF","Capacitor_SMD:C_0402_1005Metric","~"
D1 D2 D3 D4 D6 D5 ,6,"LED","LED_SMD:LED_0603_1608Metric","https://datasheet.lcsc.com/szlcsc/Lite-On-LTST-C193KGKT-5A_C125102.pdf"
G1 ,1,"OSHW_logo","Custom_Footprints:OSHW_logo",""
H1 H2 ,2,"MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_ISO7380_Pad","~"
J1 J2 J3 J5 ,4,"PCIe Connector","Custom_Footprints:UMAX_3091-10100T_PCIe_x1",""
J6 ,1,"PCIe Card Edge","Custom_Footprints:BUS_PCIexpress_x1",""
J7 ,1,"Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","~"
L1 ,1,"3.3uH","Custom_Footprints:MS0420","https://datasheet.lcsc.com/szlcsc/1910211209_COILMX-MS0420-3R3M_C380155.pdf"
Q1 ,1,"BSS138W","Package_TO_SOT_SMD:SOT-323_SC-70","https://datasheet.lcsc.com/szlcsc/Diodes-Incorporated-BSS138W-7-F_C24553.pdf"
R1 R4 R7 R10 R15 R14 ,6,"470R","Resistor_SMD:R_0402_1005Metric","~"
R13 ,1,"51K","Resistor_SMD:R_0402_1005Metric","~"
R3 R2 R6 R5 R9 R8 R12 R11 ,8,"9K53","Resistor_SMD:R_0402_1005Metric","~"
SW1 ,1,"SW_Push","Button_Switch_SMD:SW_SPST_SKQG_WithoutStem","~"
U1 U2 U4 U5 ,4,"NL17SZ00","Package_TO_SOT_SMD:SOT-353_SC-70-5","https://datasheet.lcsc.com/szlcsc/ON-Semicon-ON-NL17SZ00DFT2G_C94397.pdf"
U3 ,1,"STM32F070RBTx","Package_QFP:LQFP-64_10x10mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00141386.pdf"
U6 ,1,"AP6320x","Package_TO_SOT_SMD:TSOT-23-6","https://www.diodes.com/assets/Datasheets/AP63200-AP63201-AP63203-AP63205.pdf"
