Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"4.7uF","Capacitor_SMD:C_0402_1005Metric","~"
C3 C4 ,2,"47pF","Capacitor_SMD:C_0402_1005Metric","~"
C5 C2 C6 ,3,"100nF","Capacitor_SMD:C_0402_1005Metric","~"
C7 C8 ,2,"1uF","Capacitor_SMD:C_0402_1005Metric","~"
D1 D3 D2 D5 D4 D7 D6 ,7,"LED","LED_SMD:LED_0603_1608Metric","https://datasheet.lcsc.com/szlcsc/Lite-On-LTST-C193KGKT-5A_C125102.pdf"
G1 ,1,"OSHW_logo","Custom_Footprints:OSHW_logo",""
J1 ,1,"USB_B_Micro","Custom_Footprints:USB_Micro-B_Amphenol_10118194-0001LF","https://datasheet.lcsc.com/szlcsc/1811131822_Amphenol-ICC-10118194-0001LF_C132563.pdf"
J2 ,1,"JTAG Connector","Custom_Footprints:Shroud_2x05_P1.27mm_Verticle","http://www.cnctech.us/pdfs/3220-XX-0300-00-TR.pdf"
J3 ,1,"PCIe Connector","Custom_Footprints:UMAX_3091-10100T_PCIe_x1","https://datasheet.lcsc.com/szlcsc/1912111437_UMAX-3091-10100T_C444344.pdf"
J4 ,1,"Screw_VIn","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal","~"
J5 ,1,"SWD Header","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
Q2 Q1 ,2,"BSS138W","Package_TO_SOT_SMD:SOT-323_SC-70","https://datasheet.lcsc.com/szlcsc/Diodes-Incorporated-BSS138W-7-F_C24553.pdf"
R1 R3 R2 R5 R4 R11 R9 ,7,"470R","Resistor_SMD:R_0402_1005Metric","~"
R12 R13 ,2,"9K53","Resistor_SMD:R_0402_1005Metric","~"
R7 R6 ,2,"27R","Resistor_SMD:R_0402_1005Metric","~"
R8 R10 ,2,"51K","Resistor_SMD:R_0402_1005Metric","~"
SW1 ,1,"SW_RST","Button_Switch_SMD:SW_SPST_SKQG_WithStem","~"
U1 ,1,"FT231XS","Package_SO:SSOP-20_3.9x8.7mm_P0.635mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf"
U2 ,1,"NL17SZ00","Package_TO_SOT_SMD:SOT-353_SC-70-5","https://datasheet.lcsc.com/szlcsc/ON-Semicon-ON-NL17SZ00DFT2G_C94397.pdf"
U3 ,1,"NCP703xN33T","Package_SO:TSOP-5_1.65x3.05mm_P0.95mm","https://datasheet.lcsc.com/szlcsc/ON-Semicon-ON-NCP703SN33T1G_C184820.pdf"
U4 ,1,"NL17SZ32","Package_TO_SOT_SMD:SOT-353_SC-70-5","https://datasheet.lcsc.com/szlcsc/1811081955_ON-Semiconductor-NL17SZ32DFT2G_C152310.pdf"
